 ,Timestamp,FIT-800-00/BLOCK1/OUT.CV lb/min,FIT-800-00/DENSITY/OUT.CV kg/m3,FIT-800-00/TEMP/OUT.CV °C,FIT-800-00/VOL_FLOW/OUT.CV L/mi,FIT-800-01,FIT-800-02,FIT-800-03/BLOCK1/OUT.CV gal/mi,FIT-800-04/BLOCK1/OUT.CV gal/mi,FSC-800-01/FCS-600-01_OUT/OUT.C,FSC-800-01/FCS-600-01_OUT/PV.CV,FSC-800-01/FCS-600-01_OUT/SP.CV,PIC-800_SLAVE/PID1/OUT.CV %,PIC-800_SLAVE/PID1/PV.CV psig,PIC-800_SLAVE/PID1/SP.CV psig,PIT-800-00/AI1/OUT.CV psi,PIT-800-01/AI1/OUT.CV psi,PIT-800-02/AI1/OUT.CV psi,PIT-800-03/AI1/OUT.CV psi,PIT-800-04/AI1/OUT.CV psi,TE-800-01,TE-800-02,TE-800-03,TE-800-04,TE-800-05,TE-800-06,TE-800-07,TE-800-08,TE-800-09,TE-800-10,TE-800-11,TE-800-12,TE-800-13,TE-800-14,TE-800-15,TE-800-16,TIC-800_MASTER/PID1/PV.CV °C,TIC-800_MASTER/PID1/SP.CV °C,TT-800-00F/AI1/OUT.CV °C,TT-800-00P/AI1/OUT.CV °C,TT-800-01P/AI1/OUT.CV °C,TT-800-02P/AI1/OUT.CV °C,TT-800-03P/AI1/OUT.CV °C,TT-800-04P/AI1/OUT.CV °C
10,2025-01-29 14:16:40-05:00,1.752880573,35.94892502,149.8821564,21.72221947,13.48458862,20.00782013,9.5462E-05,7.632228851,72.10645294,72.10456848,72.09986115,45.46946716,17.89740372,20,17.89740372,11.78745079,5.063230038,73.8920517,0.616561174,17.8314209,20.2507019,20.55511475,17.39883423,9.195709229,21.56448364,121.5881348,47.39151001,15.07568359,15.05966187,16.5977478,16.40548706,15.86074829,16.9342041,14.00222778,15.86074829,20.55511475,20.55511475,150.1733093,22.66195679,21.13360596,20.51992798,19.03103638,22.56814575
11,2025-01-29 14:16:50-05:00,1.863746881,34.47715378,149.45578,24.19820976,13.49794006,20.00782013,9.5462E-05,7.632228851,72.11762238,72.12286377,72.12004089,48.17658615,18.46425056,20,18.46246338,11.77505302,5.063230038,73.84555817,0.616561174,17.8314209,20.73135376,20.95565796,17.75131226,9.195709229,21.56448364,121.3638306,68.12362671,15.15579224,15.20385742,16.822052,16.66183472,16.0369873,17.19055176,14.00222778,16.0369873,20.95565796,20.95565796,149.8408813,22.69000244,21.1072998,20.41348267,18.87139893,22.56814575
12,2025-01-29 14:17:00-05:00,1.943618298,33.14981079,149.0157318,26.26424789,13.49794006,20.00782013,9.5462E-05,7.593604088,72.13768768,72.1350174,72.13841248,50.94548035,18.68419647,20,18.68419647,11.77505302,5.063230038,73.8741684,0.616561174,17.87948608,21.13189697,21.38824463,18.0557251,9.195709229,21.54846191,120.7710266,90.61813354,15.28396606,15.33203125,17.0463562,16.9342041,16.2612915,17.46292114,14.05029297,16.24526978,21.38824463,21.38824463,149.3938904,22.69000244,21.08068848,20.35998535,18.74465942,22.54293823
13,2025-01-29 14:17:10-05:00,1.98772645,36.67566299,148.6261597,25.36693192,13.49794006,20.00782013,9.5462E-05,7.579298973,72.11914063,72.12420654,72.11473083,53.04364777,18.69492531,20,18.69492531,11.79209805,5.063230038,73.84197998,0.616561174,17.92755127,21.53244019,21.56448364,18.32809448,9.195709229,21.54846191,120.4025269,102.2338867,15.38009644,15.41213989,17.2706604,17.11044312,16.38946533,17.68722534,14.05029297,16.38946533,21.56448364,21.56448364,148.9584351,22.69000244,21.02774048,20.28018188,18.65338135,22.54293823
14,2025-01-29 14:17:20-05:00,2.112898111,35.88947678,148.0441742,26.05956268,13.49794006,19.99542236,9.5462E-05,7.560940266,72.1058197,72.09529877,72.10364532,54.71818542,19.48887062,20,19.48887062,11.79209805,5.063230038,73.86344147,0.605832219,18.00765991,21.91696167,21.66061401,18.58444214,9.195709229,21.56448364,120.5467224,117.3744202,15.50827026,15.55633545,17.47894287,17.33474731,16.62979126,17.943573,14.14642334,16.56570435,21.66061401,21.66061401,148.5803223,22.69000244,21.02774048,20.25357056,18.52664185,22.54293823
15,2025-01-29 14:17:30-05:00,2.104553223,34.61325455,147.5905609,27.68425179,13.49794006,19.99542236,9.5462E-05,7.560940266,72.12796783,72.12059784,72.11804962,53.27106476,20.71912956,20,20.71912956,11.76265526,5.063230038,73.86344147,0.605832219,18.13583374,21.9329834,21.88491821,18.71261597,9.195709229,21.56448364,118.271637,116.0606384,15.60440063,15.63644409,17.62313843,17.46292114,16.74194336,18.03970337,14.1784668,16.64581299,21.88491821,21.88491821,147.9617157,22.69000244,21.00143433,20.20007324,18.46426392,22.51461792
16,2025-01-29 14:17:40-05:00,2.047332048,34.75119781,147.4072876,27.28277779,13.49794006,20.01068115,9.5462E-05,7.560940266,72.08220673,72.08107758,72.07759094,51.4495697,20.93967056,20,20.9337101,11.76265526,5.048924446,73.83125305,0.605832219,18.2800293,22.23739624,22.01309204,18.80874634,9.195709229,21.5965271,119.9058533,117.8710938,15.68450928,15.76461792,17.65518188,17.54302979,16.79000854,18.11981201,14.27459717,16.74194336,22.01309204,22.01309204,147.6867676,22.69000244,20.974823,20.14685059,18.36785889,22.51461792
17,2025-01-29 14:17:50-05:00,2.013952971,33.51762772,147.2194672,27.27469063,13.5112915,20.01068115,9.5462E-05,7.589312553,72.07126617,72.07045746,72.07069397,50.10486603,20.77277374,20,20.77277374,11.78125191,5.048924446,73.83125305,0.605832219,18.40820313,22.3815918,22.14126587,18.98498535,9.195709229,21.5965271,121.9566345,119.9058533,15.81268311,15.90881348,17.8314209,17.7192688,16.96624756,18.29605103,14.402771,16.91818237,22.14126587,22.14126587,147.4004211,22.69000244,20.94821167,20.11965942,18.30435181,22.51461792
18,2025-01-29 14:18:00-05:00,1.991302729,32.89337921,147.1232605,27.60495949,13.5112915,19.99828339,9.5462E-05,7.589312553,72.04559326,72.04131317,72.03398132,49.59685516,20.41871834,20,20.41871834,11.75955582,5.048924446,73.81694794,0.620137632,18.53637695,22.55783081,22.28546143,19.11315918,9.195709229,21.5965271,122.5975037,120.450592,15.89279175,15.98892212,17.97561646,17.86346436,17.06237793,18.42422485,14.45083618,16.99829102,22.28546143,22.28546143,147.205719,22.69000244,20.94821167,20.09362793,18.21194458,22.48660278
19,2025-01-29 14:18:10-05:00,1.961500049,32.23100281,146.9446106,27.31398582,13.5112915,19.99828339,9.5462E-05,7.540913105,72.01124573,72.00479889,72.00862122,49.40648651,20.11830711,20,20.11830711,11.73166084,5.048924446,73.80622101,0.602255881,18.66455078,22.66998291,22.36557007,19.20928955,9.195709229,21.5965271,122.5013733,120.2262878,16.0369873,16.11709595,18.10379028,17.943573,17.19055176,18.56842041,14.57901001,17.12646484,22.36557007,22.36557007,147.1141052,22.69000244,20.94821167,20.06674194,18.14614868,22.48660278
